Buf1 read bytes 130032, nread = 130032, i = 0
Buf1 read bytes 902664, nread = 772632, i = 1
Buf1 read bytes 1097712, nread = 195048, i = 2
Buf1 read bytes 10759392, nread = 9661680, i = 3
Buf1 read bytes 11141928, nread = 382536, i = 4
Buf1 read bytes 11532024, nread = 390096, i = 5
Buf1 read bytes 11914560, nread = 382536, i = 6
Buf1 read bytes 12687192, nread = 772632, i = 7
Buf1 read bytes 13077288, nread = 390096, i = 8
Buf1 read bytes 14622552, nread = 1545264, i = 9
Buf1 read bytes 15005088, nread = 382536, i = 10
Buf1 read bytes 15395184, nread = 390096, i = 11
Buf1 read bytes 15777720, nread = 382536, i = 12
Buf1 read bytes 16167816, nread = 390096, i = 13
Buf1 read bytes 16550352, nread = 382536, i = 14
Buf1 read bytes 16940448, nread = 390096, i = 15
Buf1 read bytes 17973144, nread = 1032696, i = 16
Buf1 read bytes 18615744, nread = 642600, i = 17
Buf1 read bytes 19128312, nread = 512568, i = 18
Buf1 read bytes 19713456, nread = 585144, i = 19
Buf1 read bytes 21071232, nread = 1357776, i = 20
Buf1 read bytes 21453768, nread = 382536, i = 21
Buf1 read bytes 21843864, nread = 390096, i = 22
Buf1 read bytes 22226400, nread = 382536, i = 23
Buf1 read bytes 22616496, nread = 390096, i = 24
Buf1 read bytes 22999032, nread = 382536, i = 25
Buf1 read bytes 23389128, nread = 390096, i = 26
Buf1 read bytes 23771664, nread = 382536, i = 27
Buf1 read bytes 24161760, nread = 390096, i = 28
Buf1 read bytes 24544296, nread = 382536, i = 29
Buf1 read bytes 24934392, nread = 390096, i = 30
Buf1 read bytes 25642008, nread = 707616, i = 31
Buf1 read bytes 26089560, nread = 447552, i = 32
Buf1 read bytes 26414640, nread = 325080, i = 33
Buf1 read bytes 26862192, nread = 447552, i = 34
Buf1 read bytes 27187272, nread = 325080, i = 35
Buf1 read bytes 27634824, nread = 447552, i = 36
Buf1 read bytes 28610064, nread = 975240, i = 37
Buf1 read bytes 29057616, nread = 447552, i = 38
Buf1 read bytes 29382696, nread = 325080, i = 39
Buf1 read bytes 29830248, nread = 447552, i = 40
Buf1 read bytes 30545424, nread = 715176, i = 41
Buf1 read bytes 30927960, nread = 382536, i = 42
Buf1 read bytes 31318056, nread = 390096, i = 43
Buf1 read bytes 31700592, nread = 382536, i = 44
Buf1 read bytes 32090688, nread = 390096, i = 45
Buf1 read bytes 32473224, nread = 382536, i = 46
Buf1 read bytes 32863320, nread = 390096, i = 47
Buf1 read bytes 33245856, nread = 382536, i = 48
Buf1 read bytes 33635952, nread = 390096, i = 49
Buf1 read bytes 34018488, nread = 382536, i = 50
Buf1 read bytes 34408584, nread = 390096, i = 51
Buf1 read bytes 34791120, nread = 382536, i = 52
Buf1 read bytes 35181216, nread = 390096, i = 53
Buf1 read bytes 35563752, nread = 382536, i = 54
Buf1 read bytes 35953848, nread = 390096, i = 55
Buf1 read bytes 36336384, nread = 382536, i = 56
Buf1 read bytes 36726480, nread = 390096, i = 57
Buf1 read bytes 37109016, nread = 382536, i = 58
Buf1 read bytes 37499112, nread = 390096, i = 59
Buf1 read bytes 37881648, nread = 382536, i = 60
Buf1 read bytes 38271744, nread = 390096, i = 61
Buf1 read bytes 38654280, nread = 382536, i = 62
Buf1 read bytes 39044376, nread = 390096, i = 63
Buf1 read bytes 39426912, nread = 382536, i = 64
Buf1 read bytes 39817008, nread = 390096, i = 65
Buf1 read bytes 40199544, nread = 382536, i = 66
Buf1 read bytes 40589640, nread = 390096, i = 67
Buf1 read bytes 40972176, nread = 382536, i = 68
Buf1 read bytes 41362272, nread = 390096, i = 69
Buf1 read bytes 41744808, nread = 382536, i = 70
Buf1 read bytes 42134904, nread = 390096, i = 71
Buf1 read bytes 42517440, nread = 382536, i = 72
Buf1 read bytes 42907536, nread = 390096, i = 73
Buf1 read bytes 43290072, nread = 382536, i = 74
Buf1 read bytes 43531736, nread = 241664, i = 75
Buf1 read bytes 43680168, nread = 148432, i = 76
Buf1 read bytes 44452800, nread = 772632, i = 77
Buf1 read bytes 44835336, nread = 382536, i = 78
Buf1 read bytes 45607968, nread = 772632, i = 79
Buf1 read bytes 45998064, nread = 390096, i = 80
Buf1 read bytes 46380600, nread = 382536, i = 81
Buf1 read bytes 46770696, nread = 390096, i = 82
Buf1 read bytes 47153232, nread = 382536, i = 83
Buf1 read bytes 47543328, nread = 390096, i = 84
Buf1 read bytes 47925864, nread = 382536, i = 85
Buf1 read bytes 48315960, nread = 390096, i = 86
Buf1 read bytes 48698496, nread = 382536, i = 87
Buf1 read bytes 49088592, nread = 390096, i = 88
Buf1 read bytes 49471128, nread = 382536, i = 89
Buf1 read bytes 49861224, nread = 390096, i = 90
Buf1 read bytes 50243760, nread = 382536, i = 91
Buf1 read bytes 50633856, nread = 390096, i = 92
Buf1 read bytes 51016392, nread = 382536, i = 93
Buf1 read bytes 51146424, nread = 130032, i = 94
